0 [0.00e+00, 0.00e+00]
21500 [1.00e+00, 1.05e-02]
21600 [1.00e+00, 1.05e-02]
21700 [1.00e+00, 1.05e-02]
21800 [1.00e+00, 1.05e-02]
21900 [1.00e+00, 1.05e-02]
22000 [1.00e+00, 1.05e-02]
22100 [1.00e+00, 1.05e-02]
22200 [1.00e+00, 1.05e-02]
22300 [1.00e+00, 1.05e-02]
22400 [1.00e+00, 1.05e-02]
22500 [1.00e+00, 1.05e-02]
22600 [1.00e+00, 1.05e-02]
22700 [1.00e+00, 1.05e-02]
22800 [1.00e+00, 1.05e-02]
22900 [1.00e+00, 1.05e-02]
23000 [1.00e+00, 1.04e-02]
23100 [1.00e+00, 1.05e-02]
23200 [1.00e+00, 1.05e-02]
23300 [1.00e+00, 1.05e-02]
23400 [1.00e+00, 1.05e-02]
23500 [1.00e+00, 1.04e-02]
23600 [1.00e+00, 1.05e-02]
23700 [1.00e+00, 1.04e-02]
23800 [1.00e+00, 1.04e-02]
23900 [1.00e+00, 1.04e-02]
24000 [1.00e+00, 1.04e-02]
24100 [1.00e+00, 1.04e-02]
24200 [1.00e+00, 1.04e-02]
24300 [1.00e+00, 1.04e-02]
24400 [1.00e+00, 1.04e-02]
24500 [1.00e+00, 1.04e-02]
24600 [1.00e+00, 1.04e-02]
24700 [1.00e+00, 1.04e-02]
24800 [1.00e+00, 1.04e-02]
24900 [1.00e+00, 1.04e-02]
25000 [1.00e+00, 1.04e-02]
25100 [1.00e+00, 1.04e-02]
25200 [1.00e+00, 1.04e-02]
25300 [1.00e+00, 1.04e-02]
25400 [1.00e+00, 1.04e-02]
25500 [1.00e+00, 1.04e-02]
25600 [1.00e+00, 1.04e-02]
25700 [1.00e+00, 1.04e-02]
25800 [1.00e+00, 1.04e-02]
25900 [1.00e+00, 1.04e-02]
26000 [1.00e+00, 1.04e-02]
26100 [1.00e+00, 1.04e-02]
26200 [1.00e+00, 1.04e-02]
26300 [1.00e+00, 1.03e-02]
26314 [1.00e+00, 1.04e-02]
